City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
309,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
312,Japura,ID,82.33,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
313,Tokur,RU,71.83,overcast clouds,53.1333,132.9,
315,Joliette,CA,71.01,clear sky,46.0168,-73.4492,Hôtel Château Joliette
316,Alwar,IN,85.35,broken clouds,27.5667,76.6,Hotel Saroop Vilas Palace
317,Gold Coast,AU,72.16,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
319,Lagoa,PT,71.38,clear sky,39.05,-27.9833,Casa Das Faias
321,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
323,Kigoma,TZ,74.35,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
326,Shizuishan,CN,92.01,few clouds,39.2333,106.7694,Xingji Hotel
328,Kieta,PG,82.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
329,Mastic Beach,US,79.77,broken clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
330,Buala,SB,84.97,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
331,Charlottesville,US,78.82,few clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
333,Anchorage,US,74.41,clear sky,61.2181,-149.9003,Hotel Captain Cook
334,Seoul,KR,92.77,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
335,Adrar,MR,88.9,broken clouds,20.5022,-10.0711,
336,Luwuk,ID,75.52,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
339,Torbat-E Jam,IR,85.53,clear sky,35.244,60.6225,White building
341,Mitsamiouli,KM,75.49,broken clouds,-11.3847,43.2844,Foyer ADM
342,Garchitorena,PH,85.15,heavy intensity rain,13.8804,123.6946,Site
343,Gazojak,TM,86.43,scattered clouds,41.1875,61.4036,
344,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
345,Fez,MA,71.85,clear sky,34.0372,-4.9998,Hotel Mounia Fès
347,Tessalit,ML,83.95,overcast clouds,20.1986,1.0114,
348,Pangkalanbuun,ID,83.71,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
349,Miramar,US,85.01,clear sky,25.9873,-80.2323,Stadium Hotel
351,Jardim,BR,70.36,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
354,Zarubino,RU,72.86,overcast clouds,42.63,131.0922,Okean
357,Skovorodino,RU,79.41,clear sky,53.9833,123.9167,Amur
359,Tibiri,NE,75.87,overcast clouds,13.5627,7.0485,FADA GAO FA TIBIRI
360,Roma,US,71.96,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
363,Alihe,CN,81.09,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
364,Baker City,US,88.2,clear sky,44.7749,-117.8344,Bridge Street Inn
365,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
366,Sao Felix Do Xingu,BR,70.45,clear sky,-6.6447,-51.995,Rio Xingu Camping
367,Riberalta,BO,73.02,clear sky,-10.9833,-66.1,Hotel Colonial
