City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Saldanha,ZA,2022-07-29 03:25:23,-33.0117,17.9442,55.45,81,57,18.79,broken clouds
166,Miri,MY,2022-07-29 03:25:23,4.4148,114.0089,87.94,74,40,5.75,scattered clouds
167,Hithadhoo,MV,2022-07-29 03:25:24,-0.6,73.0833,81.99,73,100,13.6,overcast clouds
168,Hobart,AU,2022-07-29 03:20:52,-42.8794,147.3294,49.86,66,40,10.36,scattered clouds
169,Pisco,PE,2022-07-29 03:25:24,-13.7,-76.2167,60.85,82,100,2.3,mist
170,Bambanglipuro,ID,2022-07-29 03:25:24,-7.95,110.2833,82.13,71,84,10.11,broken clouds
171,Hovd,MN,2022-07-29 03:25:25,48.0056,91.6419,70.7,31,35,4.97,scattered clouds
172,Sergeyevka,KZ,2022-07-29 03:25:25,53.88,67.4158,60.67,96,100,12.97,moderate rain
173,Verkhnevilyuysk,RU,2022-07-29 03:25:25,63.4453,120.3167,86.5,38,0,10.87,clear sky
174,Manuk Mangkaw,PH,2022-07-29 03:25:26,4.8,119.85,82.72,72,96,3.51,light rain
175,Grand-Santi,GF,2022-07-29 03:25:26,4.25,-54.3833,72.37,99,100,2.08,moderate rain
176,Thinadhoo,MV,2022-07-29 03:25:26,0.5333,72.9333,82.06,74,88,10.94,overcast clouds
177,Khatanga,RU,2022-07-29 03:25:27,71.9667,102.5,70.83,48,82,5.79,broken clouds
178,Sistranda,NO,2022-07-29 03:25:27,63.7256,8.834,53.56,75,59,13.38,broken clouds
179,Lebu,CL,2022-07-29 03:25:27,-37.6167,-73.65,47.66,87,7,19.51,clear sky
180,Cheney,US,2022-07-29 03:22:12,47.4874,-117.5758,96.82,30,20,6.91,few clouds
181,Shumikha,RU,2022-07-29 03:25:28,55.2261,63.2961,59.43,85,89,13.65,overcast clouds
182,Zapolyarnyy,RU,2022-07-29 03:25:28,69.4154,30.8136,49.28,75,20,3.04,few clouds
183,Damghan,IR,2022-07-29 03:25:29,36.1683,54.348,81.46,49,100,4.94,overcast clouds
184,Chuy,UY,2022-07-29 03:25:29,-33.6971,-53.4616,49.5,79,100,15.46,overcast clouds
185,Saint-Philippe,RE,2022-07-29 03:25:29,-21.3585,55.7679,64.22,82,37,7.99,scattered clouds
186,Buraydah,SA,2022-07-29 03:25:30,26.326,43.975,88.25,17,89,6.15,overcast clouds
187,Dunedin,NZ,2022-07-29 03:21:03,-45.8742,170.5036,48.79,71,99,4.0,light rain
188,Ribeira Grande,PT,2022-07-29 03:26:30,38.5167,-28.7,72.84,79,13,3.51,few clouds
189,Iqaluit,CA,2022-07-29 03:26:30,63.7506,-68.5145,53.33,66,100,3.44,overcast clouds
190,Bereda,ES,2022-07-29 03:26:31,43.2686,-7.5406,59.14,100,43,1.12,scattered clouds
191,Torbay,CA,2022-07-29 03:26:31,47.6666,-52.7314,55.27,93,100,9.22,overcast clouds
192,Barrow,US,2022-07-29 03:26:31,71.2906,-156.7887,35.62,93,100,14.97,mist
193,East London,ZA,2022-07-29 03:26:32,-33.0153,27.9116,65.34,59,0,8.05,clear sky
194,Pevek,RU,2022-07-29 03:26:32,69.7008,170.3133,41.32,74,100,6.15,overcast clouds
195,Maba,CN,2022-07-29 03:26:32,24.6841,113.5984,96.57,47,65,1.01,broken clouds
196,Sao Luis De Montes Belos,BR,2022-07-29 03:26:33,-16.525,-50.3722,65.86,43,16,1.45,few clouds
197,Necochea,AR,2022-07-29 03:26:33,-38.5473,-58.7368,43.23,90,41,9.8,scattered clouds
198,Saint-Joseph,RE,2022-07-29 03:26:34,-21.3667,55.6167,63.21,78,17,9.24,few clouds
199,Hondo,JP,2022-07-29 03:26:34,32.45,130.2,86.31,68,29,10.36,scattered clouds
200,Bluff,NZ,2022-07-29 03:26:34,-46.6,168.3333,47.8,86,99,20.38,light rain
201,Takoradi,GH,2022-07-29 03:26:35,4.8845,-1.7554,74.39,79,91,9.6,overcast clouds
202,Ancud,CL,2022-07-29 03:26:35,-41.8697,-73.8203,45.23,78,100,4.41,overcast clouds
203,Mnogovershinnyy,RU,2022-07-29 03:26:35,53.9353,139.9242,76.77,41,100,2.66,overcast clouds
204,Cidreira,BR,2022-07-29 03:26:36,-30.1811,-50.2056,55.56,89,100,18.21,overcast clouds
205,Tongliao,CN,2022-07-29 03:26:36,43.6125,122.2653,73.65,82,100,3.78,light rain
206,Belaya Kholunitsa,RU,2022-07-29 03:26:36,58.84,50.8528,63.01,74,76,4.94,broken clouds
207,Garh Maharaja,PK,2022-07-29 03:26:37,30.8339,71.9053,88.36,67,92,5.99,overcast clouds
208,Plettenberg Bay,ZA,2022-07-29 03:22:02,-34.0527,23.3716,57.67,69,0,7.85,clear sky
209,Vao,NC,2022-07-29 03:26:37,-22.6667,167.4833,69.53,66,34,11.97,scattered clouds
210,Dalvik,IS,2022-07-29 03:26:37,65.9702,-18.5286,48.13,97,100,10.76,overcast clouds
211,Tulunan,PH,2022-07-29 03:26:38,6.8344,124.8769,85.14,73,100,1.86,overcast clouds
212,Mount Isa,AU,2022-07-29 03:26:38,-20.7333,139.5,73.17,18,2,11.5,clear sky
213,Tazmalt,DZ,2022-07-29 03:26:38,36.3868,4.3989,79.83,42,0,2.1,clear sky
214,Sterling,US,2022-07-29 03:24:54,39.0062,-77.4286,76.15,95,20,3.44,few clouds
215,Zhigansk,RU,2022-07-29 03:23:32,66.7697,123.3711,78.85,47,95,3.33,overcast clouds
216,Harrisonburg,US,2022-07-29 03:26:39,38.4496,-78.8689,74.03,91,0,0.0,clear sky
217,Killybegs,IE,2022-07-29 03:26:39,54.6333,-8.45,55.94,84,95,5.88,overcast clouds
218,Bandarbeyla,SO,2022-07-29 03:26:40,9.4942,50.8122,76.64,75,68,23.38,broken clouds
219,Salinas,US,2022-07-29 03:21:49,36.6777,-121.6555,70.0,80,100,13.8,overcast clouds
220,Araouane,ML,2022-07-29 03:26:40,18.9048,-3.5265,94.8,25,19,8.3,few clouds
221,Carutapera,BR,2022-07-29 03:26:40,-1.195,-46.02,76.03,90,7,6.22,clear sky
222,Calama,CL,2022-07-29 03:24:07,-22.4667,-68.9333,52.29,11,7,17.27,clear sky
223,Whitehorse,CA,2022-07-29 03:23:18,60.7161,-135.0538,63.37,59,75,3.44,shower rain
224,Aojiang,CN,2022-07-29 03:26:41,22.9421,116.0359,91.89,59,14,5.82,few clouds
225,Talnakh,RU,2022-07-29 03:26:41,69.4865,88.3972,63.21,47,0,9.82,clear sky
226,Gerash,IR,2022-07-29 03:26:42,27.6652,54.1371,75.34,70,100,5.7,overcast clouds
227,Floro,NO,2022-07-29 03:26:42,61.5996,5.0328,51.76,87,100,4.61,overcast clouds
228,Mangai,CD,2022-07-29 03:22:39,-4.05,19.5333,74.26,54,97,2.28,overcast clouds
229,Honningsvag,NO,2022-07-29 03:26:42,70.9821,25.9704,49.75,81,100,5.75,overcast clouds
230,Half Moon Bay,US,2022-07-29 03:26:43,37.4636,-122.4286,67.8,85,100,13.8,mist
231,San Jose,US,2022-07-29 03:22:38,37.3394,-121.895,71.53,73,40,12.66,scattered clouds
232,Dauriya,RU,2022-07-29 03:26:43,49.9333,116.8667,75.83,44,40,7.38,scattered clouds
233,La Ronge,CA,2022-07-29 03:26:44,55.1001,-105.2842,73.62,53,75,4.61,broken clouds
234,Axim,GH,2022-07-29 03:27:44,4.8699,-2.2405,75.49,73,97,11.07,overcast clouds
235,Mangan,IN,2022-07-29 03:27:44,27.5167,88.5333,82.0,78,80,3.53,broken clouds
236,Tual,ID,2022-07-29 03:27:45,-5.6667,132.75,78.31,87,80,22.59,broken clouds
237,Alofi,NU,2022-07-29 03:27:45,-19.0595,-169.9187,78.69,78,75,16.11,broken clouds
238,Meadow Lake,US,2022-07-29 03:27:45,34.8014,-106.5436,72.39,52,79,4.68,broken clouds
239,Codrington,AU,2022-07-29 03:27:46,-38.2667,141.9667,53.46,56,28,3.42,scattered clouds
240,Yatou,CN,2022-07-29 03:27:46,37.15,122.3833,83.39,75,85,12.39,overcast clouds
241,Fort Nelson,CA,2022-07-29 03:23:20,58.8053,-122.7002,63.99,88,100,5.75,light rain
242,Isangel,VU,2022-07-29 03:22:47,-19.55,169.2667,80.71,78,75,4.61,broken clouds
